Subrata Roy Sahara Stadium
Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa
Adelaide Oval
Maharashtra Cricket Association Stadium
M Chinnaswamy Stadium
Madhavrao Scindia Cricket Ground
Punjab Cricket Association IS Bindra Stadium, Mohali
Kennington Oval
Bellerive Oval
Old Trafford
MA Chidambaram Stadium, Chepauk
Central Broward Regional Park Stadium Turf Ground
Rajiv Gandhi International Stadium, Uppal
Trent Bridge
Beausejour Stadium, Gros Islet
Willowmoore Park
Melbourne Cricket Ground
Kingsmead
Pallekele International Cricket Stadium
Dubai International Cricket Stadium
Gymkhana Club Ground
ICC Academy
Punjab Cricket Association Stadium, Mohali
Harare Sports Club
Arundel Castle Cricket Club Ground
Dr DY Patil Sports Academy
Brisbane Cricket Ground, Woolloongabba
Eden Gardens
Rangiri Dambulla International Stadium
Docklands Stadium
Feroz Shah Kotla
Mannofield Park
Sardar Patel Stadium, Motera
Sydney Cricket Ground
Westpac Stadium
Sabina Park, Kingston
Headingley
National Stadium
Brabourne Stadium
Queens Sports Club
Sir Vivian Richards Stadium, North Sound
Carrara Oval
McLean Park
Marrara Cricket Ground
Sydney Showground Stadium
R Premadasa Stadium
Sharjah Cricket Stadium
New Wanderers Stadium
AMI Stadium
Kinrara Academy Oval
Vidarbha Cricket Association Stadium, Jamtha
The Rose Bowl
Sheikh Zayed Stadium
County Ground, Hove
Maple Leaf North-West Ground
Manuka Oval
Green Park
Wankhede Stadium
Saurashtra Cricket Association Stadium
Queen's Park Oval, Port of Spain
Warner Park, Basseterre
Bay Oval
Saxton Oval
Sylhet Stadium
Sawai Mansingh Stadium
Indian Association Ground
Darren Sammy National Cricket Stadium, Gros Islet
Perth Stadium
Toronto Cricket
ICC Global Cricket Academy
Amini Park
County Ground
De Beers Diamond Oval
Shere Bangla National Stadium
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
Edgbaston
St George's Park
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1)
Holkar Cricket Stadium
Zahur Ahmed Chowdhury Stadium
Tolerance Oval
SuperSport Park
Stadium Australia
Hagley Oval
Reliance Stadium
Civil Service Cricket Club, Stormont
Kensington Oval, Bridgetown
Multan Cricket Stadium
Western Australia Cricket Association Ground
St Lawrence Ground
Nehru Stadium
Mombasa Sports Club Ground
Providence Stadium
The Village, Malahide
Sophia Gardens
Basin Reserve
La Manga Club Bottom Ground
Hazelaarweg
Newlands
Eden Park
Arnos Vale Ground, Kingstown
Simonds Stadium, South Geelong, Victoria
Wanderers Cricket Ground
Khan Shaheb Osman Ali Stadium
Maharani Usharaje Trust Cricket Ground
Tribhuvan University International Cricket Ground
Sportpark Westvliet
Lord's
Aurora Stadium
M.Chinnaswamy Stadium
Buffalo Park
JSCA International Stadium Complex
County Ground, New Road
Bready Cricket Club, Magheramason
Queenstown Events Centre
Rajiv Gandhi International Cricket Stadium, Dehradun
Barabati Stadium
National Cricket Stadium, St George's
Sheikh Abu Naser Stadium
Malahide
The Cooper Associates County Ground
Greater Noida Sports Complex Ground
Mangaung Oval
Mission Road Ground, Mong Kok
Greenfield International Stadium
Grange Cricket Club Ground, Raeburn Place
Chevrolet Park
Uxbridge Cricket Club Ground
OUTsurance Oval
Indian Petrochemicals Corporation Limited Sports Complex Ground
Senwes Park
College Ground
Shaheed Veer Narayan Singh International Stadium
Seddon Park
Sportpark Het Schootsveld
Chittagong Divisional Stadium
Cambusdoon New Ground
Zohur Ahmed Chowdhury Stadium
Gaddafi Stadium
King George V Sports Ground
W.A.C.A. Ground
Riverside Ground
Iqbal Stadium
White Hill Field, Sandys Parish
University Oval
ICC Academy Ground No 2
VRA Ground
Ted Summerton Reserve
The Wanderers Stadium
Windsor Park, Roseau
Nehru Stadium, Fatorda
Shaheed Chandu Stadium
Sharjah Cricket Association Stadium
Himachal Pradesh Cricket Association Stadium
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium
Grace Road
Kyambogo Cricket Oval
Vidarbha Cricket Association Ground
Geelong Cricket Ground
Darren Sammy National Cricket Stadium, St Lucia
Dubai Sports City Cricket Stadium
Narayanganj Osmani Stadium
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium
Nevill Ground
Traeger Park
Rawalpindi Cricket Stadium
Queen's Park
Old Deer Park
Jaffery Sports Club Ground
United Cricket Club Ground
College Field
The Kent County Cricket Ground
Ruaraka Sports Club Ground
Shere Bangla National Stadium, Mirpur
R.Premadasa Stadium, Khettarama
Sheikhupura Stadium
Bermuda National Stadium
International Sports Stadium
Tony Ireland Stadium
P Sara Oval
Goodyear Park
Arun Jaitley Stadium
Clontarf Cricket Club Ground
Grange Cricket Club, Raeburn Place
Captain Roop Singh Stadium
Queen's Park Oval, Trinidad
Simonds Stadium, South Geelong
Lugogo Cricket Oval
Bert Sutcliffe Oval
Boland Park
Sinhalese Sports Club Ground
Antigua Recreation Ground, St John's
Jade Stadium
Titwood
Sportpark Maarschalkerweerd
Warner Park, St Kitts
Sedgars Park
Bready
National Cricket Stadium, Grenada
Sector 16 Stadium
Affies Park
Galle International Stadium
Merchant Taylors' School Ground
Moses Mabhida Stadium
Kensington Oval, Barbados
P Saravanamuttu Stadium
Castle Avenue
Keenan Stadium
Providence Stadium, Guyana
Nahar Singh Stadium
Cobham Oval (New)
Arbab Niaz Stadium
Kent County Cricket Ground
