venue,Official_name,similarity_score
Bharat Ratna Shri Atal Bihari Vajpayee Ekana    ,Bharat Ratna Shri Atal Bihari Vajpayee Ekana     Ekana International    ,0.9116846116771037
Saxton Oval,Saxton Oval,0.9999999999999998
Rangiri Dambulla International  ,Rangiri Dambulla International  ,1.0000000000000002
Nevill  ,Nevill  ,1.0
Queens Sports Club,Queens Sports Club,1.0000000000000002
National  ,National  ,1.0
Western Australia   Association  ,Western Australian   Association   The WACA,0.5163977794943223
Traeger Park,SuperSport Park Centurion Park,0.5773502691896258
"Mahinda Rajapaksa International    , Sooriyawewa",Mahinda Rajapaksa International   Hambantota    ,0.75
Queens Park,Queens Park Oval,0.816496580927726
Bay Oval,Bay Oval,0.9999999999999998
Old Deer Park,Queens Park Old,0.6666666666666669
United   Club  ,Gymkhana Club  ,0.4999999999999999
College Field,Gymkhana Club  ,0.0
The Kent County    ,The Ford County  ,0.6666666666666669
"Sabina Park, Kingston",Sabina Park Bina,0.6666666666666669
"Shere Bangla National  , Mirpur",Shere e Bangla  ,0.7071067811865475
"R Premadasa  , Khettarama",Ranasinghe Premadasa   formerly Khetterama  ,0.35355339059327373
Bermuda National  ,National  ,0.7071067811865475
International Sports  ,Dubai International     Dubai Sports City  ,0.5345224838248487
Tony Ireland  ,Tony Ireland  ,0.9999999999999998
Himachal Pradesh   Association  ,Himachal Pradesh   Association  ,1.0000000000000002
Shaheed Veer Narayan Singh International  ,K D  Singh Babu  ,0.3162277660168379
Gaddafi  ,Gaddafi   Lahore  ,0.7071067811865475
Arun Jaitley  ,Arun Jaitley   Feroz Shah Kotla  ;Kotla,0.4999999999999999
"Grange   Club, Raeburn Place",Gymkhana Club  ,0.35355339059327373
"Kensington Oval, Bridgetown",Kensington Oval The Mecca,0.5773502691896258
Willowmoore Park,Willowmoore Park Willowmoore Park Main Oval,0.8944271909999159
"Queens Park Oval, Trinidad",Queens Park Oval,0.8660254037844388
"Simonds  , South Geelong",Queens Park Oval,0.0
Clontarf   Club  ,Clontarf   Club   Castle Avenue,0.7071067811865475
Lugogo   Oval,The Oval,0.4999999999999999
Sportpark Maarschalkerweerd,Sportpark Westvliet,0.4999999999999999
"Warner Park, St Kitts",Warner Park,0.7071067811865475
Zahur Ahmed Chowdhury  ,Zohur Ahmed Chowdhury  ,0.6666666666666669
Sinhalese Sports Club  ,Sinhalese Sports Club   SSC,0.8660254037844388
Bready,Bready,1.0
"National    , Grenada",National  ,0.7071067811865475
Affies Park,Affies Park,0.9999999999999998
Galle International  ,Galle International  ,0.9999999999999998
Wanderers    ,Wanderers    ,1.0
Merchant Taylors School  ,Wanderers    ,0.0
"Kensington Oval, Barbados",Kensington Oval The Mecca,0.5773502691896258
Castle Avenue,Clontarf   Club   Castle Avenue,0.7071067811865475
"Providence  , Guyana",Providence  ,0.7071067811865475
"Punjab   Association  , Mohali",Punjab   Association   Mohali,1.0000000000000002
Westpac  ,Westpac   formerly WestpacTrust  ,0.5773502691896258
Sportpark Westvliet,Sportpark Westvliet,0.9999999999999998
Kent County    ,County  ,0.7071067811865475
