batsman,match_date,match_type,runs_batsman,balls_faced,boundary_4,boundary_6,strike_rate,batting_points
RG Sharma,2016-03-19,T20,10,13,2,0,76.92307692307693,12
RG Sharma,2016-03-23,T20,18,17,1,1,105.88235294117648,21
RG Sharma,2016-03-27,T20,12,17,1,0,70.58823529411765,13
RG Sharma,2016-03-31,T20,43,31,3,3,138.70967741935485,52
RG Sharma,2016-04-09,T20,7,5,1,0,140.0,8
RG Sharma,2016-04-13,T20,84,55,10,3,152.72727272727275,108
RG Sharma,2016-04-16,T20,7,9,1,0,77.77777777777779,8
RG Sharma,2016-04-18,T20,5,8,0,0,62.5,5
RG Sharma,2016-04-20,T20,62,44,4,3,140.9090909090909,80
RG Sharma,2016-04-23,T20,65,48,7,1,135.41666666666669,82
RG Sharma,2016-04-25,T20,0,2,0,0,0.0,0
RG Sharma,2016-04-28,T20,68,49,8,2,138.77551020408163,88
RG Sharma,2016-05-01,T20,85,61,8,3,139.34426229508196,107
RG Sharma,2016-05-08,T20,5,3,1,0,166.66666666666669,6
RG Sharma,2016-05-11,T20,25,26,3,0,96.15384615384616,28
RG Sharma,2016-05-13,T20,15,24,1,0,62.5,14
RG Sharma,2016-05-15,T20,31,21,1,3,147.61904761904762,38
RG Sharma,2016-05-21,T20,30,17,4,2,176.47058823529412,38
RG Sharma,2016-08-27,T20,62,29,4,4,213.79310344827584,82
RG Sharma,2016-10-16,ODI,14,27,1,1,51.85185185185185,15
RG Sharma,2016-10-20,ODI,15,27,1,1,55.55555555555556,16
RG Sharma,2016-10-23,ODI,13,21,2,0,61.904761904761905,15
RG Sharma,2016-10-26,ODI,11,19,2,0,57.89473684210527,11
RG Sharma,2016-10-29,ODI,70,65,5,3,107.6923076923077,85
RG Sharma,2017-04-06,T20,3,7,0,0,42.857142857142854,3
RG Sharma,2017-04-09,T20,2,6,0,0,33.33333333333333,2
RG Sharma,2017-04-12,T20,4,4,0,0,100.0,4
RG Sharma,2017-04-14,T20,0,2,0,0,0.0,0
RG Sharma,2017-04-16,T20,40,29,3,1,137.93103448275863,45
RG Sharma,2017-04-22,T20,5,9,0,0,55.55555555555556,5
RG Sharma,2017-04-24,T20,58,40,6,3,145.0,78
RG Sharma,2017-05-01,T20,56,39,6,1,143.5897435897436,72
RG Sharma,2017-05-06,T20,10,6,1,0,166.66666666666669,11
RG Sharma,2017-05-08,T20,67,45,6,2,148.88888888888889,85
RG Sharma,2017-05-11,T20,5,7,0,0,71.42857142857143,5
RG Sharma,2017-05-13,T20,27,22,4,1,122.72727272727273,33
RG Sharma,2017-05-16,T20,1,2,0,0,50.0,1
RG Sharma,2017-05-19,T20,26,24,1,1,108.33333333333333,29
RG Sharma,2017-05-21,T20,24,23,4,0,104.34782608695652,28
RG Sharma,2017-06-04,ODI,91,119,7,2,76.47058823529412,106
RG Sharma,2017-06-08,ODI,78,79,6,3,98.73417721518987,94
RG Sharma,2017-06-11,ODI,12,20,1,1,60.0,13
RG Sharma,2017-06-15,ODI,123,129,15,1,95.34883720930233,152
