venue
Punjab   Association IS Bindra   Mohali
Bellerive Oval
Old Trafford
Central Broward Regional Park   Turf  
Rajiv Gandhi International   Uppal
Adelaide Oval
M Chinnaswamy  
Kingsmead
ICC Academy
Arundel Castle   Club  
Eden Gardens
Docklands  
Sydney    
Sir Vivian Richards   North Sound
Carrara Oval
Sydney Showground  
Kinrara Academy Oval
Sheikh Zayed  
County   Hove
Manuka Oval
Saurashtra   Association  
Harare Sports Club
Queens Park Oval Port of Spain
Wankhede  
Dubai International    
Indian Association  
Darren Sammy National     Gros Islet
Perth  
ICC Global   Academy
Amini Park
County  
Shere Bangla National  
Dr  Y S  Rajasekhara Reddy ACA VDCA    
Edgbaston
St Georges Park
Melbourne    
Al Amerat     Oman   Ministry Turf 1
Maharashtra   Association  
Tolerance Oval
The Rose Bowl
Trent Bridge
MA Chidambaram   Chepauk
Holkar    
Green Park
St Lawrence  
Sawai Mansingh  
Sophia Gardens
Basin Reserve
La Manga Club Bottom  
Kennington Oval
Mannofield Park
Hazelaarweg
The Village Malahide
Eden Park
Sharjah    
Simonds   South Geelong Victoria
Tribhuvan University International    
Aurora  
Feroz Shah Kotla
Newlands
County   New Road
Bready   Club Magheramason
Rajiv Gandhi International     Dehradun
Hagley Oval
Civil Service   Club Stormont
Warner Park Basseterre
Malahide
The Cooper Associates County  
Greater Noida Sports Complex  
Mangaung Oval
Mission Road   Mong Kok
Greenfield International  
Grange   Club   Raeburn Place
Sheikh Abu Naser  
Vidarbha   Association   Jamtha
Uxbridge   Club  
Pallekele International    
College  
Seddon Park
Headingley
Sportpark Het Schootsveld
JSCA International   Complex
King George V Sports  
W A C A   
Barabati  
Riverside  
White Hill Field Sandys Parish
McLean Park
ICC Academy   No 2
Ted Summerton Reserve
The Wanderers  
Lords
SuperSport Park
Khan Shaheb Osman Ali  
Providence  
R Premadasa  
VRA  
New Wanderers  
Grace Road
Kyambogo   Oval
Geelong    
Darren Sammy National     St Lucia
Brisbane     Woolloongabba
Bharat Ratna Shri Atal Bihari Vajpayee Ekana    
Saxton Oval
Rangiri Dambulla International  
Nevill  
Queens Sports Club
National  
Western Australia   Association  
Traeger Park
Mahinda Rajapaksa International     Sooriyawewa
Queens Park
Bay Oval
Old Deer Park
United   Club  
College Field
The Kent County    
Sabina Park Kingston
Shere Bangla National   Mirpur
R Premadasa   Khettarama
Bermuda National  
International Sports  
Tony Ireland  
Himachal Pradesh   Association  
Shaheed Veer Narayan Singh International  
Gaddafi  
Arun Jaitley  
Grange   Club Raeburn Place
Kensington Oval Bridgetown
Willowmoore Park
Queens Park Oval Trinidad
Simonds   South Geelong
Clontarf   Club  
Lugogo   Oval
Sportpark Maarschalkerweerd
Warner Park St Kitts
Zahur Ahmed Chowdhury  
Sinhalese Sports Club  
Bready
National     Grenada
Affies Park
Galle International  
Wanderers    
Merchant Taylors School  
Kensington Oval Barbados
Castle Avenue
Providence   Guyana
Punjab   Association   Mohali
Westpac  
Sportpark Westvliet
Kent County    
